"UC","Ar condicionado Intervalo","Ar condicionado Quantidade","Chuveiro elétrico Intervalo","Chuveiro elétrico Quantidade","Computador/Notebook Intervalo","Computador/Notebook Quantidade","Ferro elétrico Intervalo","Ferro elétrico Quantidade","Força motriz (beneficiamento, tratamento) Intervalo","Força motriz (beneficiamento, tratamento) Quantidade","Força motriz (bombeamento, compressão) Intervalo","Força motriz (bombeamento, compressão) Quantidade","Força motriz (cocção-microondas) Intervalo","Força motriz (cocção-microondas) Quantidade","Força motriz (lavagem) Intervalo","Força motriz (lavagem) Quantidade","Força motriz (transporte,movimento) Intervalo","Força motriz (transporte,movimento) Quantidade","Forno elétrico/Panela elétrica Intervalo","Forno elétrico/Panela elétrica Quantidade","Freezer Intervalo","Freezer Quantidade","Geladeira Intervalo","Geladeira Quantidade","Lâmpada fluorescente Intervalo","Lâmpada fluorescente Quantidade","Lâmpada LED Intervalo","Lâmpada LED Quantidade","Lâmpada (outros tipos) Intervalo","Lâmpada (outros tipos) Quantidade","Máquina de solda Intervalo","Máquina de solda Quantidade","Resistência elétrica Intervalo","Resistência elétrica Quantidade","Ventilador Intervalo","Ventilador Quantidade"
"23456","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","111111111111111111111111","1","111111111111111111111111","1"
"788888","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","111111111111111111111111","1","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0","000000000000000000000000","0"
